,nsub,xgb_8020_weights,xgb_joblib8020_max_delta_1,xgb_8020_weights_sqrt,xgb_8020_800_est,xgb_joblib8020_max_delta_5,success
407,1,1,1,1,1,1,1
408,1,2,1,1,1,1,2
409,1,1,2,1,1,2,2
410,1,1,1,1,1,1,1
411,1,1,1,1,1,1,1
412,1,1,1,2,2,1,2
413,1,1,1,1,1,1,1
414,1,1,1,1,1,1,1
415,1,1,1,1,1,1,1
416,1,1,1,1,1,1,1
417,1,1,1,1,1,1,1
418,1,2,2,1,1,2,2
419,1,1,1,1,1,1,1
420,1,1,1,1,1,1,1
421,1,1,1,1,1,1,1
422,1,1,2,2,1,1,2
423,1,2,2,2,1,2,2
424,1,1,1,1,1,1,1
425,1,1,1,1,1,1,1
426,1,1,1,1,1,1,1
427,1,1,1,1,1,1,1
428,1,1,1,1,1,1,1
429,1,3,1,1,1,1,2
430,1,1,1,1,1,1,1
431,1,1,1,1,1,1,1
432,1,1,1,2,1,1,2
433,1,2,1,1,1,2,2
434,1,2,1,1,1,1,2
435,1,1,1,1,1,1,1
436,1,1,1,1,1,1,1
437,1,24,1,1,1,1,2
438,1,1,1,1,1,1,1
439,1,1,1,1,1,1,1
440,1,3,1,1,1,1,2
441,1,1,1,1,1,1,1
442,1,1,1,1,1,1,1
443,1,1,1,1,1,1,1
444,1,1,1,1,1,1,1
445,1,1,1,1,1,1,1
446,1,1,1,1,1,1,1
447,1,1,1,1,1,1,1
448,1,1,1,1,1,1,1
449,1,4,1,2,1,2,2
450,1,1,1,1,1,1,1
451,1,1,1,1,1,1,1
452,1,2,2,2,1,1,2
453,1,1,1,1,1,1,1
454,1,2,1,1,1,1,2
455,1,2,1,1,1,1,2
456,1,3,2,2,2,2,3
457,1,1,1,1,1,1,1
458,1,1,1,1,1,1,1
459,1,1,2,2,1,1,2
460,1,2,1,1,1,1,2
461,1,1,1,1,1,1,1
462,1,6,1,1,1,1,2
463,1,2,2,2,1,2,2
464,1,1,1,1,1,1,1
465,1,1,1,1,1,1,1
466,1,1,1,1,1,1,1
467,1,1,1,1,1,1,1
468,1,1,1,1,1,1,1
469,1,2,1,1,2,2,2
470,1,3,1,1,1,2,2
471,1,1,1,1,1,1,1
472,1,6,1,1,1,1,2
473,1,4,1,1,1,1,2
474,1,1,1,1,1,1,1
475,1,1,1,1,1,1,1
476,1,1,1,2,1,1,2
477,1,1,1,1,1,1,1
478,1,1,1,1,1,1,1
479,1,2,2,2,2,2,3
480,1,1,1,1,1,1,1
481,1,2,2,2,2,2,3
482,1,2,1,1,1,2,2
483,1,1,1,1,1,1,1
484,1,1,1,1,1,1,1
485,1,1,1,1,1,1,1
486,1,3,1,1,1,1,2
487,1,3,1,1,1,1,2
488,1,2,2,2,2,2,3
489,1,1,1,1,1,1,1
490,1,1,1,1,1,1,1
491,1,1,1,1,1,1,1
492,1,1,1,1,1,1,1
493,1,2,1,1,1,2,2
494,1,1,1,1,1,1,1
495,1,2,1,1,1,1,2
496,1,1,1,1,2,2,2
497,1,1,1,1,1,1,1
498,1,1,1,1,1,1,1
499,1,1,1,1,1,1,1
500,1,1,1,1,1,1,1
501,1,2,1,1,1,1,2
502,1,1,1,1,1,1,1
503,1,2,1,2,1,1,2
504,1,1,1,1,1,1,1
505,1,1,1,1,1,1,1
506,1,1,1,1,1,1,1
507,1,2,1,2,1,1,2
508,1,1,1,1,1,1,1
509,1,6,1,1,1,1,2
510,1,2,1,1,1,1,2
511,1,1,1,1,1,1,1
512,1,2,2,2,1,2,2
513,1,2,2,2,2,1,2
514,1,1,2,2,2,1,2
515,1,2,2,2,2,2,3
516,1,1,1,1,1,1,1
517,1,1,1,1,1,1,1
518,1,1,1,1,1,1,1
519,1,3,1,1,1,1,2
520,1,3,1,1,1,1,2
521,1,1,1,1,1,1,1
522,1,1,1,1,1,1,1
523,1,1,1,1,1,1,1
524,1,1,1,1,1,1,1
525,1,1,1,1,1,1,1
526,1,1,1,1,1,1,1
527,1,1,1,1,1,1,1
528,1,1,1,1,1,1,1
529,1,1,1,1,1,1,1
530,1,2,2,2,2,2,3
531,1,1,1,1,1,1,1
532,1,2,1,1,1,1,2
533,1,1,1,2,1,1,2
534,1,1,1,1,1,1,1
535,1,1,1,1,1,1,1
536,1,1,1,1,1,1,1
537,1,1,1,1,1,1,1
538,1,1,1,1,1,1,1
539,1,2,1,1,1,1,2
540,1,1,1,1,1,1,1
541,1,1,1,1,1,1,1
542,1,1,1,1,1,1,1
543,1,1,2,2,2,1,2
544,1,2,1,2,1,1,2
545,1,2,1,2,1,1,2
546,1,1,1,1,1,1,1
547,1,1,1,1,1,1,1
548,1,3,1,1,2,2,2
549,1,1,1,1,1,1,1
550,1,2,2,2,2,2,3
551,1,1,1,1,1,1,1
552,1,1,1,1,1,1,1
553,1,1,1,1,1,1,1
554,1,1,1,2,1,1,2
555,1,2,1,1,1,1,2
556,1,2,1,1,1,1,2
557,1,1,1,1,1,1,1
558,1,2,1,1,1,2,2
559,1,1,1,1,1,1,1
560,1,1,1,1,1,1,1
561,1,1,1,1,1,1,1
562,1,1,1,1,1,1,1
563,1,1,1,1,1,1,1
564,1,1,1,1,1,1,1
565,1,1,1,2,1,1,2
566,1,2,1,1,1,1,2
567,1,1,1,2,1,1,2
568,1,5,2,1,1,1,2
569,1,24,1,1,2,1,2
570,1,2,1,1,2,1,2
571,1,1,1,2,2,2,2
572,1,14,1,1,1,1,2
573,1,1,2,2,2,2,2
574,1,1,1,1,1,1,1
575,1,3,1,1,1,1,2
576,1,1,1,1,1,1,1
577,1,1,1,1,1,1,1
578,1,1,1,1,1,1,1
579,1,1,1,1,1,1,1
580,1,2,1,1,1,1,2
581,1,6,2,2,2,6,3
582,1,1,1,1,1,1,1
583,1,1,1,1,1,1,1
584,1,1,1,1,1,1,1
585,1,2,2,2,2,2,3
586,1,1,1,1,1,1,1
587,1,1,1,1,1,1,1
588,1,1,1,1,1,1,1
589,1,1,1,1,1,1,1
590,1,5,2,2,2,2,3
591,1,1,1,1,1,1,1
592,1,14,1,2,2,2,2
593,1,1,1,1,1,1,1
594,1,1,1,1,1,1,1
595,1,2,1,1,1,1,2
596,1,2,1,1,2,1,2
597,1,1,1,1,1,1,1
598,1,24,1,1,1,1,2
599,1,1,1,1,1,1,1
600,1,6,2,1,1,2,2
601,1,1,1,1,1,1,1
602,1,1,1,1,1,1,1
603,1,1,1,1,1,1,1
604,1,1,1,1,1,1,1
605,1,1,1,2,1,1,2
606,1,3,2,2,2,2,3
607,1,3,2,2,2,2,3
608,1,1,1,1,1,1,1
609,1,2,2,2,2,2,3
610,1,2,1,1,1,1,2
611,1,1,2,2,1,1,2
612,1,1,1,1,1,1,1
613,1,1,1,1,1,1,1
614,1,2,1,1,1,1,2
615,1,2,1,1,1,2,2
616,1,2,1,1,1,2,2
617,1,2,1,1,1,2,2
618,1,6,2,2,2,2,3
619,1,1,1,1,1,1,1
620,1,1,1,1,1,1,1
621,1,2,1,2,1,1,2
622,1,2,1,1,1,1,2
623,1,1,1,1,1,1,1
624,1,1,1,1,1,1,1
625,1,1,1,1,2,2,2
626,1,1,1,1,1,1,1
627,1,2,1,1,1,1,2
628,1,1,1,1,1,1,1
629,1,2,1,1,1,1,2
630,1,1,1,1,1,1,1
631,1,2,2,2,2,2,3
632,1,2,2,2,2,2,3
633,1,1,1,1,1,1,1
634,1,1,1,1,1,1,1
635,1,1,1,1,1,1,1
636,1,1,1,1,1,1,1
637,1,1,1,1,1,1,1
638,1,1,1,1,1,1,1
639,1,1,1,1,1,1,1
640,1,1,1,1,1,1,1
641,1,1,1,1,1,1,1
642,1,1,1,1,1,1,1
643,1,1,1,1,1,1,1
644,1,1,1,1,1,1,1
645,1,24,1,1,1,1,2
646,1,1,1,1,1,1,1
647,1,1,1,1,1,1,1
648,1,2,1,1,2,1,2
649,1,1,1,1,1,1,1
650,1,1,1,1,2,1,2
651,1,1,1,1,1,1,1
652,1,1,1,1,1,1,1
653,1,1,1,1,1,1,1
654,1,1,1,1,1,1,1
655,1,1,1,1,1,1,1
656,1,1,2,1,2,2,2
657,1,3,1,1,1,1,2
658,1,2,1,2,1,1,2
659,1,1,1,1,1,1,1
660,1,3,3,3,2,1,2
661,1,2,1,1,1,1,2
662,1,1,2,2,2,2,2
663,1,1,1,1,1,1,1
664,1,2,1,1,1,1,2
665,1,1,1,1,1,1,1
666,1,1,1,1,1,1,1
667,1,1,1,1,1,1,1
668,1,1,1,1,1,1,1
669,1,1,1,1,1,1,1
670,1,1,1,1,1,1,1
671,1,1,1,1,2,1,2
672,1,1,2,1,2,2,2
673,1,1,1,1,2,2,2
674,1,1,1,1,1,1,1
675,1,1,1,1,1,1,1
676,1,1,1,1,1,1,1
677,1,1,1,1,1,1,1
678,1,2,1,1,1,1,2
679,1,1,1,1,1,1,1
680,1,1,1,1,1,1,1
681,1,1,1,1,1,1,1
682,1,1,1,1,1,1,1
683,1,1,1,1,1,1,1
684,1,1,1,1,1,1,1
685,1,1,1,1,2,2,2
686,1,6,1,1,4,1,2
687,1,1,1,1,1,1,1
688,1,2,1,1,1,1,2
689,1,1,1,1,1,1,1
690,1,1,1,1,1,1,1
691,1,1,1,1,1,1,1
692,1,3,1,1,1,1,2
693,1,3,1,1,1,1,2
694,1,1,1,1,1,1,1
695,1,1,1,2,2,1,2
696,1,6,2,4,2,2,3
697,1,6,2,4,2,2,3
698,1,1,1,1,1,1,1
699,1,2,1,1,1,1,2
700,1,2,1,1,2,1,2
701,1,1,1,1,1,1,1
702,1,3,1,1,1,1,2
703,1,1,2,2,2,1,2
704,1,2,1,2,2,1,2
705,1,1,1,1,1,1,1
706,1,1,1,1,1,1,1
707,1,1,1,1,1,1,1
708,1,1,1,1,1,1,1
709,1,1,1,1,1,1,1
710,1,2,1,1,1,1,2
711,1,1,1,1,1,1,1
712,1,2,1,1,1,1,2
713,1,2,1,1,1,1,2
714,1,6,1,1,1,1,2
715,1,1,1,1,1,1,1
716,1,1,1,1,1,1,1
717,1,1,1,1,1,1,1
718,1,1,1,1,1,1,1
719,1,1,1,1,1,1,1
720,1,1,1,1,1,1,1
721,1,1,1,1,1,1,1
722,1,1,1,1,1,1,1
723,1,1,1,1,1,1,1
724,1,1,1,1,1,1,1
725,1,1,1,1,1,1,1
726,1,1,1,1,1,1,1
727,1,1,1,1,1,1,1
728,1,1,1,1,1,1,1
729,1,1,1,1,1,1,1
730,1,1,1,1,1,1,1
731,1,1,1,1,1,1,1
732,1,1,1,1,1,1,1
733,1,1,1,1,1,1,1
734,1,1,1,1,1,1,1
735,1,1,1,1,1,1,1
736,1,1,1,1,1,1,1
737,1,1,1,1,1,1,1
738,1,1,1,1,1,1,1
739,1,1,1,1,1,1,1
740,1,1,1,1,1,1,1
741,1,1,1,1,1,1,1
742,1,1,1,1,1,1,1
743,1,1,1,1,1,1,1
744,1,1,1,1,1,1,1
745,1,1,1,1,1,1,1
746,1,1,1,1,1,1,1
747,1,1,1,1,1,1,1
748,1,1,1,1,1,1,1
749,1,1,1,1,1,1,1
750,1,1,1,1,1,1,1
751,1,1,1,1,1,1,1
752,1,6,1,1,1,1,2
753,1,3,1,2,1,1,2
754,1,1,1,1,1,1,1
755,1,1,1,1,1,1,1
756,1,1,1,1,1,1,1
757,1,1,1,1,1,1,1
758,1,1,1,1,1,1,1
759,1,1,1,1,1,1,1
760,1,2,1,2,1,2,2
761,1,3,2,2,2,2,3
762,1,1,1,1,1,1,1
763,1,3,1,1,1,1,2
764,1,1,1,1,1,1,1
765,1,1,1,1,1,1,1
766,1,1,1,2,1,2,2
767,1,1,1,1,1,1,1
768,1,1,1,1,1,1,1
769,1,1,1,1,1,1,1
770,1,1,1,1,1,1,1
771,1,1,1,1,1,1,1
772,1,1,1,1,1,1,1
773,1,1,1,1,1,1,1
774,1,1,1,1,1,1,1
775,1,3,1,1,1,1,2
776,1,3,1,1,1,1,2
777,1,3,1,1,1,1,2
778,1,3,1,1,1,1,2
779,1,3,1,1,1,1,2
780,1,3,1,1,1,1,2
781,1,1,1,1,1,1,1
782,1,1,1,1,1,1,1
783,1,1,1,1,1,1,1
784,1,1,1,1,1,1,1
785,1,1,1,1,1,1,1
786,1,1,1,1,1,1,1
787,1,1,1,1,1,1,1
788,1,1,1,2,1,1,2
789,1,1,1,1,1,1,1
790,1,1,1,1,1,1,1
791,1,1,1,1,1,1,1
792,1,1,1,1,1,1,1
793,1,1,1,1,1,1,1
794,1,1,1,1,1,1,1
795,1,1,1,1,1,1,1
796,1,1,1,1,1,1,1
797,1,1,1,1,1,1,1
798,1,1,1,1,1,1,1
799,1,1,1,1,1,1,1
800,1,1,1,1,1,1,1
801,1,1,1,1,1,1,1
802,1,1,1,1,1,1,1
803,1,1,1,1,1,1,1
804,1,1,1,1,1,1,1
805,1,1,1,1,1,1,1
806,1,1,1,1,1,1,1
807,1,1,1,1,1,1,1
808,1,1,1,1,1,1,1
809,1,1,1,1,1,1,1
810,1,1,1,1,1,1,1
811,1,1,1,1,1,1,1
812,1,1,1,1,1,1,1
813,1,1,1,1,1,1,1
814,1,1,1,1,1,1,1
815,1,1,1,1,1,1,1
816,1,1,1,1,1,1,1
817,1,1,1,1,1,1,1
818,1,1,1,1,1,1,1
819,1,1,1,1,1,1,1
820,1,2,1,1,1,1,2
821,1,1,1,1,1,1,1
822,1,1,1,1,1,1,1
823,1,1,1,1,1,1,1
824,1,6,1,1,1,1,2
825,1,1,1,1,1,1,1
826,1,6,1,2,4,1,2
827,1,1,1,1,1,1,1
828,1,1,1,1,1,1,1
829,1,1,1,1,1,1,1
830,1,1,1,1,1,1,1
831,1,1,1,1,1,1,1
832,1,1,1,1,1,1,1
833,1,1,1,1,1,1,1
834,1,1,1,1,1,1,1
835,1,1,1,1,1,1,1
836,1,1,1,1,1,1,1
837,1,3,1,1,1,1,2
838,1,3,1,1,1,1,2
839,1,1,1,1,1,1,1
840,1,1,1,1,1,1,1
841,1,1,1,1,1,1,1
842,1,3,1,1,1,1,2
843,1,1,1,1,1,1,1
844,1,1,1,1,1,1,1
845,1,2,1,1,1,1,2
846,1,2,1,1,1,1,2
847,1,1,1,1,1,1,1
848,1,1,1,1,1,1,1
849,1,1,1,1,1,1,1
850,1,1,1,1,1,1,1
851,1,1,1,1,1,1,1
852,1,1,1,1,1,1,1
853,1,6,1,1,1,1,2
854,1,1,1,2,1,1,2
855,1,1,1,1,1,1,1
856,1,2,2,2,2,2,3
857,1,4,1,2,4,1,2
858,1,1,1,1,1,1,1
859,1,1,1,1,1,1,1
860,1,1,1,2,1,1,2
861,1,1,1,1,1,1,1
862,1,1,1,1,1,1,1
863,1,2,2,2,2,2,3
864,1,2,1,1,1,1,2
